fecha_venta,var1(t-7 day),var1(t-6 day),var1(t-5 day),var1(t-4 day),var1(t-3 day),var1(t-2 day),var1(t-1 day),var1(t-5 week),var1(t-4 week),var1(t-3 week),var1(t-2 week),var1(t-1 week),var1(t),tipo_festivo,day,dayofweek,month,year,weekday
2023-03-27,153.0,216.0,216.0,270.0,150.0,309.0,321.0,258.0,294.0,201.0,150.0,153.0,183.0,0,27,1,3,2023,1
2023-03-28,216.0,216.0,270.0,150.0,309.0,321.0,183.0,255.0,486.0,168.0,219.0,216.0,156.0,0,28,2,3,2023,1
2023-03-29,216.0,270.0,150.0,309.0,321.0,183.0,156.0,189.0,171.0,183.0,192.0,216.0,207.0,0,29,3,3,2023,1
2023-03-30,270.0,150.0,309.0,321.0,183.0,156.0,207.0,252.0,258.0,177.0,255.0,270.0,192.0,0,30,4,3,2023,1
2023-03-31,150.0,309.0,321.0,183.0,156.0,207.0,192.0,294.0,273.0,255.0,177.0,150.0,216.0,0,31,5,3,2023,1
2023-04-01,309.0,321.0,183.0,156.0,207.0,192.0,216.0,342.0,303.0,312.0,327.0,309.0,210.0,0,1,6,4,2023,0
2023-04-02,321.0,183.0,156.0,207.0,192.0,216.0,210.0,507.0,429.0,276.0,369.0,321.0,315.0,0,2,7,4,2023,0
2023-04-03,183.0,156.0,207.0,192.0,216.0,210.0,315.0,294.0,201.0,150.0,153.0,183.0,210.0,0,3,1,4,2023,1
2023-04-04,156.0,207.0,192.0,216.0,210.0,315.0,210.0,486.0,168.0,219.0,216.0,156.0,204.0,0,4,2,4,2023,1
2023-04-05,207.0,192.0,216.0,210.0,315.0,210.0,204.0,171.0,183.0,192.0,216.0,207.0,231.0,0,5,3,4,2023,1
2023-04-06,192.0,216.0,210.0,315.0,210.0,204.0,231.0,258.0,177.0,255.0,270.0,192.0,327.0,0,6,4,4,2023,1
2023-04-07,216.0,210.0,315.0,210.0,204.0,231.0,327.0,273.0,255.0,177.0,150.0,216.0,330.0,0,7,5,4,2023,1
2023-04-08,210.0,315.0,210.0,204.0,231.0,327.0,330.0,303.0,312.0,327.0,309.0,210.0,267.0,0,8,6,4,2023,0
2023-04-09,315.0,210.0,204.0,231.0,327.0,330.0,267.0,429.0,276.0,369.0,321.0,315.0,315.0,0,9,7,4,2023,0
2023-04-10,210.0,204.0,231.0,327.0,330.0,267.0,315.0,201.0,150.0,153.0,183.0,210.0,213.0,0,10,1,4,2023,1
2023-04-11,204.0,231.0,327.0,330.0,267.0,315.0,213.0,168.0,219.0,216.0,156.0,204.0,153.0,0,11,2,4,2023,1
2023-04-12,231.0,327.0,330.0,267.0,315.0,213.0,153.0,183.0,192.0,216.0,207.0,231.0,183.0,0,12,3,4,2023,1
2023-04-13,327.0,330.0,267.0,315.0,213.0,153.0,183.0,177.0,255.0,270.0,192.0,327.0,138.0,0,13,4,4,2023,1
2023-04-14,330.0,267.0,315.0,213.0,153.0,183.0,138.0,255.0,177.0,150.0,216.0,330.0,204.0,0,14,5,4,2023,1
2023-04-15,267.0,315.0,213.0,153.0,183.0,138.0,204.0,312.0,327.0,309.0,210.0,267.0,276.0,0,15,6,4,2023,0
2023-04-16,315.0,213.0,153.0,183.0,138.0,204.0,276.0,276.0,369.0,321.0,315.0,315.0,333.0,0,16,7,4,2023,0
2023-04-17,213.0,153.0,183.0,138.0,204.0,276.0,333.0,150.0,153.0,183.0,210.0,213.0,192.0,0,17,1,4,2023,1
2023-04-18,153.0,183.0,138.0,204.0,276.0,333.0,192.0,219.0,216.0,156.0,204.0,153.0,234.0,0,18,2,4,2023,1
2023-04-19,183.0,138.0,204.0,276.0,333.0,192.0,234.0,192.0,216.0,207.0,231.0,183.0,183.0,0,19,3,4,2023,1
2023-04-20,138.0,204.0,276.0,333.0,192.0,234.0,183.0,255.0,270.0,192.0,327.0,138.0,222.0,0,20,4,4,2023,1
2023-04-21,204.0,276.0,333.0,192.0,234.0,183.0,222.0,177.0,150.0,216.0,330.0,204.0,216.0,0,21,5,4,2023,1
2023-04-22,276.0,333.0,192.0,234.0,183.0,222.0,216.0,327.0,309.0,210.0,267.0,276.0,297.0,0,22,6,4,2023,0
2023-04-23,333.0,192.0,234.0,183.0,222.0,216.0,297.0,369.0,321.0,315.0,315.0,333.0,336.0,0,23,7,4,2023,0
2023-04-24,192.0,234.0,183.0,222.0,216.0,297.0,336.0,153.0,183.0,210.0,213.0,192.0,204.0,0,24,1,4,2023,1
2023-04-25,234.0,183.0,222.0,216.0,297.0,336.0,204.0,216.0,156.0,204.0,153.0,234.0,246.0,0,25,2,4,2023,1
2023-04-26,183.0,222.0,216.0,297.0,336.0,204.0,246.0,216.0,207.0,231.0,183.0,183.0,162.0,0,26,3,4,2023,1
2023-04-27,222.0,216.0,297.0,336.0,204.0,246.0,162.0,270.0,192.0,327.0,138.0,222.0,216.0,0,27,4,4,2023,1
2023-04-28,216.0,297.0,336.0,204.0,246.0,162.0,216.0,150.0,216.0,330.0,204.0,216.0,183.0,0,28,5,4,2023,1
2023-04-29,297.0,336.0,204.0,246.0,162.0,216.0,183.0,309.0,210.0,267.0,276.0,297.0,249.0,0,29,6,4,2023,0
2023-04-30,336.0,204.0,246.0,162.0,216.0,183.0,249.0,321.0,315.0,315.0,333.0,336.0,330.0,0,30,7,4,2023,0
