fecha_venta,var1(t-7 day),var1(t-6 day),var1(t-5 day),var1(t-4 day),var1(t-3 day),var1(t-2 day),var1(t-1 day),var1(t-5 week),var1(t-4 week),var1(t-3 week),var1(t-2 week),var1(t-1 week),var1(t),tipo_festivo,day,dayofweek,month,year,weekday
2021-06-05,309.0,357.0,240.0,207.0,171.0,153.0,228.0,402.0,276.0,216.0,306.0,309.0,321.0,0,5,6,6,2021,0
2021-06-06,357.0,240.0,207.0,171.0,153.0,228.0,321.0,369.0,345.0,324.0,453.0,357.0,318.0,0,6,7,6,2021,0
2021-06-07,240.0,207.0,171.0,153.0,228.0,321.0,318.0,228.0,174.0,177.0,141.0,240.0,204.0,0,7,1,6,2021,1
2021-06-08,207.0,171.0,153.0,228.0,321.0,318.0,204.0,237.0,174.0,216.0,210.0,207.0,231.0,0,8,2,6,2021,1
2021-06-09,171.0,153.0,228.0,321.0,318.0,204.0,231.0,288.0,180.0,162.0,243.0,171.0,198.0,0,9,3,6,2021,1
2021-06-10,153.0,228.0,321.0,318.0,204.0,231.0,198.0,144.0,228.0,177.0,171.0,153.0,174.0,0,10,4,6,2021,1
2021-06-11,228.0,321.0,318.0,204.0,231.0,198.0,174.0,252.0,216.0,189.0,234.0,228.0,258.0,0,11,5,6,2021,1
2021-06-12,321.0,318.0,204.0,231.0,198.0,174.0,258.0,276.0,216.0,306.0,309.0,321.0,231.0,0,12,6,6,2021,0
2021-06-13,318.0,204.0,231.0,198.0,174.0,258.0,231.0,345.0,324.0,453.0,357.0,318.0,249.0,0,13,7,6,2021,0
2021-06-14,204.0,231.0,198.0,174.0,258.0,231.0,249.0,174.0,177.0,141.0,240.0,204.0,180.0,0,14,1,6,2021,1
2021-06-15,231.0,198.0,174.0,258.0,231.0,249.0,180.0,174.0,216.0,210.0,207.0,231.0,135.0,0,15,2,6,2021,1
2021-06-16,198.0,174.0,258.0,231.0,249.0,180.0,135.0,180.0,162.0,243.0,171.0,198.0,204.0,0,16,3,6,2021,1
2021-06-17,174.0,258.0,231.0,249.0,180.0,135.0,204.0,228.0,177.0,171.0,153.0,174.0,207.0,0,17,4,6,2021,1
2021-06-18,258.0,231.0,249.0,180.0,135.0,204.0,207.0,216.0,189.0,234.0,228.0,258.0,288.0,0,18,5,6,2021,1
2021-06-19,231.0,249.0,180.0,135.0,204.0,207.0,288.0,216.0,306.0,309.0,321.0,231.0,399.0,0,19,6,6,2021,0
2021-06-20,249.0,180.0,135.0,204.0,207.0,288.0,399.0,324.0,453.0,357.0,318.0,249.0,384.0,0,20,7,6,2021,0
2021-06-21,180.0,135.0,204.0,207.0,288.0,399.0,384.0,177.0,141.0,240.0,204.0,180.0,207.0,0,21,1,6,2021,1
2021-06-22,135.0,204.0,207.0,288.0,399.0,384.0,207.0,216.0,210.0,207.0,231.0,135.0,189.0,0,22,2,6,2021,1
2021-06-23,204.0,207.0,288.0,399.0,384.0,207.0,189.0,162.0,243.0,171.0,198.0,204.0,177.0,0,23,3,6,2021,1
2021-06-24,207.0,288.0,399.0,384.0,207.0,189.0,177.0,177.0,171.0,153.0,174.0,207.0,186.0,0,24,4,6,2021,1
2021-06-25,288.0,399.0,384.0,207.0,189.0,177.0,186.0,189.0,234.0,228.0,258.0,288.0,240.0,0,25,5,6,2021,1
2021-06-26,399.0,384.0,207.0,189.0,177.0,186.0,240.0,306.0,309.0,321.0,231.0,399.0,216.0,0,26,6,6,2021,0
2021-06-27,384.0,207.0,189.0,177.0,186.0,240.0,216.0,453.0,357.0,318.0,249.0,384.0,381.0,0,27,7,6,2021,0
2021-06-28,207.0,189.0,177.0,186.0,240.0,216.0,381.0,141.0,240.0,204.0,180.0,207.0,168.0,0,28,1,6,2021,1
2021-06-29,189.0,177.0,186.0,240.0,216.0,381.0,168.0,210.0,207.0,231.0,135.0,189.0,204.0,0,29,2,6,2021,1
2021-06-30,177.0,186.0,240.0,216.0,381.0,168.0,204.0,243.0,171.0,198.0,204.0,177.0,204.0,0,30,3,6,2021,1
2021-07-01,186.0,240.0,216.0,381.0,168.0,204.0,204.0,171.0,153.0,174.0,207.0,186.0,246.0,0,1,4,7,2021,1
2021-07-02,240.0,216.0,381.0,168.0,204.0,204.0,246.0,234.0,228.0,258.0,288.0,240.0,315.0,0,2,5,7,2021,1
2021-07-03,216.0,381.0,168.0,204.0,204.0,246.0,315.0,309.0,321.0,231.0,399.0,216.0,288.0,0,3,6,7,2021,0
2021-07-04,381.0,168.0,204.0,204.0,246.0,315.0,288.0,357.0,318.0,249.0,384.0,381.0,249.0,0,4,7,7,2021,0
2021-07-05,168.0,204.0,204.0,246.0,315.0,288.0,249.0,240.0,204.0,180.0,207.0,168.0,240.0,0,5,1,7,2021,1
2021-07-06,204.0,204.0,246.0,315.0,288.0,249.0,240.0,207.0,231.0,135.0,189.0,204.0,204.0,0,6,2,7,2021,1
2021-07-07,204.0,246.0,315.0,288.0,249.0,240.0,204.0,171.0,198.0,204.0,177.0,204.0,177.0,0,7,3,7,2021,1
2021-07-08,246.0,315.0,288.0,249.0,240.0,204.0,177.0,153.0,174.0,207.0,186.0,246.0,213.0,0,8,4,7,2021,1
2021-07-09,315.0,288.0,249.0,240.0,204.0,177.0,213.0,228.0,258.0,288.0,240.0,315.0,264.0,0,9,5,7,2021,1
2021-07-10,288.0,249.0,240.0,204.0,177.0,213.0,264.0,321.0,231.0,399.0,216.0,288.0,306.0,0,10,6,7,2021,0
2021-07-11,249.0,240.0,204.0,177.0,213.0,264.0,306.0,318.0,249.0,384.0,381.0,249.0,459.0,0,11,7,7,2021,0
2021-07-12,240.0,204.0,177.0,213.0,264.0,306.0,459.0,204.0,180.0,207.0,168.0,240.0,297.0,0,12,1,7,2021,1
2021-07-13,204.0,177.0,213.0,264.0,306.0,459.0,297.0,231.0,135.0,189.0,204.0,204.0,270.0,0,13,2,7,2021,1
2021-07-14,177.0,213.0,264.0,306.0,459.0,297.0,270.0,198.0,204.0,177.0,204.0,177.0,204.0,0,14,3,7,2021,1
2021-07-15,213.0,264.0,306.0,459.0,297.0,270.0,204.0,174.0,207.0,186.0,246.0,213.0,333.0,0,15,4,7,2021,1
2021-07-16,264.0,306.0,459.0,297.0,270.0,204.0,333.0,258.0,288.0,240.0,315.0,264.0,315.0,0,16,5,7,2021,1
2021-07-17,306.0,459.0,297.0,270.0,204.0,333.0,315.0,231.0,399.0,216.0,288.0,306.0,201.0,0,17,6,7,2021,0
2021-07-18,459.0,297.0,270.0,204.0,333.0,315.0,201.0,249.0,384.0,381.0,249.0,459.0,450.0,0,18,7,7,2021,0
2021-07-19,297.0,270.0,204.0,333.0,315.0,201.0,450.0,180.0,207.0,168.0,240.0,297.0,240.0,0,19,1,7,2021,1
2021-07-20,270.0,204.0,333.0,315.0,201.0,450.0,240.0,135.0,189.0,204.0,204.0,270.0,294.0,0,20,2,7,2021,1
2021-07-21,204.0,333.0,315.0,201.0,450.0,240.0,294.0,204.0,177.0,204.0,177.0,204.0,246.0,0,21,3,7,2021,1
2021-07-22,333.0,315.0,201.0,450.0,240.0,294.0,246.0,207.0,186.0,246.0,213.0,333.0,240.0,0,22,4,7,2021,1
2021-07-23,315.0,201.0,450.0,240.0,294.0,246.0,240.0,288.0,240.0,315.0,264.0,315.0,228.0,0,23,5,7,2021,1
2021-07-24,201.0,450.0,240.0,294.0,246.0,240.0,228.0,399.0,216.0,288.0,306.0,201.0,285.0,0,24,6,7,2021,0
2021-07-25,450.0,240.0,294.0,246.0,240.0,228.0,285.0,384.0,381.0,249.0,459.0,450.0,309.0,0,25,7,7,2021,0
2021-07-26,240.0,294.0,246.0,240.0,228.0,285.0,309.0,207.0,168.0,240.0,297.0,240.0,294.0,0,26,1,7,2021,1
2021-07-27,294.0,246.0,240.0,228.0,285.0,309.0,294.0,189.0,204.0,204.0,270.0,294.0,240.0,0,27,2,7,2021,1
2021-07-28,246.0,240.0,228.0,285.0,309.0,294.0,240.0,177.0,204.0,177.0,204.0,246.0,297.0,0,28,3,7,2021,1
2021-07-29,240.0,228.0,285.0,309.0,294.0,240.0,297.0,186.0,246.0,213.0,333.0,240.0,279.0,0,29,4,7,2021,1
2021-07-30,228.0,285.0,309.0,294.0,240.0,297.0,279.0,240.0,315.0,264.0,315.0,228.0,261.0,0,30,5,7,2021,1
2021-07-31,285.0,309.0,294.0,240.0,297.0,279.0,261.0,216.0,288.0,306.0,201.0,285.0,333.0,0,31,6,7,2021,0
2021-08-01,309.0,294.0,240.0,297.0,279.0,261.0,333.0,381.0,249.0,459.0,450.0,309.0,354.0,0,1,7,8,2021,0
2021-08-02,294.0,240.0,297.0,279.0,261.0,333.0,354.0,168.0,240.0,297.0,240.0,294.0,357.0,0,2,1,8,2021,1
2021-08-03,240.0,297.0,279.0,261.0,333.0,354.0,357.0,204.0,204.0,270.0,294.0,240.0,279.0,0,3,2,8,2021,1
2021-08-04,297.0,279.0,261.0,333.0,354.0,357.0,279.0,204.0,177.0,204.0,246.0,297.0,225.0,0,4,3,8,2021,1
2021-08-05,279.0,261.0,333.0,354.0,357.0,279.0,225.0,246.0,213.0,333.0,240.0,279.0,198.0,0,5,4,8,2021,1
2021-08-06,261.0,333.0,354.0,357.0,279.0,225.0,198.0,315.0,264.0,315.0,228.0,261.0,267.0,0,6,5,8,2021,1
2021-08-07,333.0,354.0,357.0,279.0,225.0,198.0,267.0,288.0,306.0,201.0,285.0,333.0,264.0,0,7,6,8,2021,0
2021-08-08,354.0,357.0,279.0,225.0,198.0,267.0,264.0,249.0,459.0,450.0,309.0,354.0,369.0,0,8,7,8,2021,0
2021-08-09,357.0,279.0,225.0,198.0,267.0,264.0,369.0,240.0,297.0,240.0,294.0,357.0,144.0,0,9,1,8,2021,1
2021-08-10,279.0,225.0,198.0,267.0,264.0,369.0,144.0,204.0,270.0,294.0,240.0,279.0,243.0,0,10,2,8,2021,1
2021-08-11,225.0,198.0,267.0,264.0,369.0,144.0,243.0,177.0,204.0,246.0,297.0,225.0,138.0,0,11,3,8,2021,1
2021-08-12,198.0,267.0,264.0,369.0,144.0,243.0,138.0,213.0,333.0,240.0,279.0,198.0,249.0,0,12,4,8,2021,1
